log(w)        	log(v1-v2) 	Phase angle
0.000000	-5.000000 	 1.570786 
0.100000	-4.900000 	 1.570784 
0.200000	-4.800000 	 1.570780 
0.300000	-4.700000 	 1.570776 
0.400000	-4.600000 	 1.570771 
0.500000	-4.500000 	 1.570765 
0.600000	-4.400000 	 1.570757 
0.700000	-4.300000 	 1.570746 
0.800000	-4.200000 	 1.570733 
0.900000	-4.100000 	 1.570717 
1.000000	-4.000000 	 1.570696 
1.100000	-3.900000 	 1.570670 
1.200000	-3.800000 	 1.570638 
1.300000	-3.700000 	 1.570597 
1.400000	-3.600000 	 1.570545 
1.500000	-3.500000 	 1.570480 
1.600000	-3.399999 	 1.570398 
1.700000	-3.299999 	 1.570295 
1.800000	-3.199998 	 1.570165 
1.900000	-3.099997 	 1.570002 
2.000000	-2.999996 	 1.569796 
2.100000	-2.899993 	 1.569537 
